customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff,a,xxx
50,19.108058056712075,7516605.467025092,14,4024.6189391815533,3.7360901832580566,1909205975.5713558,3325.570307736734,593.2868679209002,2986.366920319978,0.37,1,1
50,19.108058056712075,7516605.467025092,14,4027.584345217365,3.3755202293395996,1932935757.0036669,3325.570307736734,594.9813856556834,2986.366920319919,0.37,2,1
50,19.108058056712075,7516605.467025092,14,4030.5497512532957,3.7309014797210693,1956665538.4359753,3325.570307736734,596.6759033904667,2986.366920319979,0.37,3,1
50,19.108058056712075,7516605.467025092,14,4033.5151572888435,4.069526195526123,1980395319.868285,3325.570307736734,598.3704211252494,2986.366920319657,0.37,4,1
50,19.108058056712075,7516605.467025092,14,4036.480563325032,3.4486377239227295,2004125101.3005936,3325.570307736734,600.0649388600325,2986.366920319975,0.37,5,1
50,19.108058056712075,7516605.467025092,14,4039.445969361043,4.267532110214233,2027854882.7329044,3325.570307736734,601.7594565948158,2986.3669203201152,0.37,6,1
50,19.108058056712075,7516605.467025092,14,4042.4113753965366,3.6426842212677,2051584664.1652126,3325.570307736734,603.4539743295989,2986.3669203197387,0.37,7,1
50,19.108058056712075,7516605.467025092,14,4045.376781432611,3.5718700885772705,2075314445.597522,3325.570307736734,605.1484920643825,2986.3669203199415,0.37,8,1
50,19.108058056712075,7516605.467025092,14,4048.342187468459,3.390145778656006,2099044227.0298324,3325.570307736734,606.8430097991654,2986.3669203199197,0.37,9,1
50,19.108058056712075,7516605.467025092,14,4051.3075935042502,4.847263813018799,2122774008.4621413,3325.570307736734,608.5375275339484,2986.3669203198406,0.37,10,1
50,19.108058056712075,7516605.467025092,14,4054.2729995401987,5.586441516876221,2146503789.8944504,3325.570307736734,610.2320452687314,2986.366920319919,0.37,11,1
50,19.108058056712075,7516605.467025092,14,4057.238405575751,3.6000401973724365,2170233571.32676,3325.570307736734,611.9265630035146,2986.3669203196005,0.37,12,1
50,19.108058056712075,7516605.467025092,14,4060.203811611998,3.5091145038604736,2193963352.7590694,3325.570307736734,613.6210807382977,2986.366920319977,0.37,13,1
50,19.108058056712075,7516605.467025092,14,4063.1692176478664,3.5548503398895264,2217693134.19138,3325.570307736734,615.3155984730807,2986.366920319975,0.37,14,1
50,19.108058056712075,7516605.467025092,14,4066.1346236838735,3.962552070617676,2241422915.6236887,3325.570307736734,617.010116207864,2986.3669203201116,0.37,15,1
50,19.108058056712075,7516605.467025092,14,4069.1000297194114,3.9875893592834473,2265152697.055997,3325.570307736734,618.7046339426471,2986.3669203197787,0.37,16,1
50,19.108058056712075,7516605.467025092,14,4072.0654357551,3.5594570636749268,2288882478.488307,3325.570307736734,620.3991516774302,2986.3669203195977,0.37,17,1
50,19.108058056712075,7516605.467025092,14,4075.0308417913475,3.7751588821411133,2312612259.9206166,3325.570307736734,622.0936694122134,2986.3669203199743,0.37,18,1
50,19.108058056712075,7516605.467025092,14,4077.9962478268244,4.136358976364136,2336342041.352926,3325.570307736734,623.7881871469962,2986.3669203195814,0.37,19,1
50,19.108058056712075,7516605.467025092,14,4080.961653863227,4.39706563949585,2360071822.785237,3325.570307736734,625.4827048817792,2986.3669203201134,0.37,20,1
50,19.108058056712075,7516605.467025092,14,4083.9270598987873,4.794025421142578,2383801604.217544,3325.570307736734,627.1772226165623,2986.3669203198033,0.37,21,1
50,19.108058056712075,7516605.467025092,14,4086.892465934969,3.497091054916382,2407531385.649855,3325.570307736734,628.8717403513456,2986.3669203201143,0.37,22,1
50,19.108058056712075,7516605.467025092,14,4089.8578719707766,3.6629269123077393,2431261167.0821643,3325.570307736734,630.5662580861285,2986.3669203200516,0.37,23,1
50,19.108058056712075,7516605.467025092,14,4092.823278006571,3.6119401454925537,2454990948.5144734,3325.570307736734,632.260775820912,2986.366920319975,0.37,24,1
50,19.108058056712075,7516605.467025092,14,4095.7886840424444,4.355966806411743,2478720729.9467826,3325.570307736734,633.9552935556947,2986.366920319979,0.37,25,1
50,19.108058056712075,7516605.467025092,14,4098.754090078055,3.7319204807281494,2502450511.379092,3325.570307736734,635.6498112904779,2986.3669203197187,0.37,26,1
50,19.108058056712075,7516605.467025092,14,4101.719496114319,3.4122185707092285,2526180292.811401,3325.570307736734,637.3443290252613,2986.3669203201116,0.37,27,1
50,19.108058056712075,7516605.467025092,14,4104.684902150054,3.7113051414489746,2549910074.2437115,3325.570307736734,639.0388467600438,2986.366920319977,0.37,28,1
50,19.108058056712075,7516605.467025092,14,4107.650308185923,3.6073880195617676,2573639855.67602,3325.570307736734,640.733364494827,2986.366920319975,0.37,29,1
50,19.108058056712075,7516605.467025092,14,4110.615714221793,3.227872371673584,2597369637.1083293,3325.570307736734,642.4278822296101,2986.366920319975,0.37,30,1
50,19.108058056712075,7516605.467025092,14,4113.581120257663,3.8189499378204346,2621099418.5406394,3325.570307736734,644.1223999643934,2986.366920319975,0.37,31,1
50,19.108058056712075,7516605.467025092,14,4116.546526293534,3.4609129428863525,2644829199.9729486,3325.570307736734,645.8169176991767,2986.366920319975,0.37,32,1
50,19.108058056712075,7516605.467025092,14,4119.511932329404,3.258859634399414,2668558981.4052587,3325.570307736734,647.5114354339597,2986.3669203199743,0.37,33,1
50,19.108058056712075,7516605.467025092,14,4122.477338364939,3.7289369106292725,2692288762.8375673,3325.570307736734,649.2059531687428,2986.3669203196396,0.37,34,1
50,19.108058056712075,7516605.467025092,14,4125.442744401229,3.662069320678711,2716018544.2698765,3325.570307736734,650.9004709035255,2986.3669203200598,0.37,35,1
50,19.108058056712075,7516605.467025092,14,4128.408150436759,3.5644001960754395,2739748325.702185,3325.570307736734,652.5949886383091,2986.366920319718,0.37,36,1
50,18.916259524629023,7578049.797783084,14,4192.216036960889,5.0365424156188965,2773557099.2977633,3399.5776446958143,652.3768857488798,3050.5564869003492,0.37,37,1
50,18.916259524629023,7578049.797783084,14,4195.1634284689335,4.645120620727539,2797142724.8201942,3399.5776446958143,654.0611094678264,3050.5564869002374,0.37,38,1
50,18.916259524629023,7578049.797783084,14,4198.110819977567,4.382818937301636,2820728350.3426228,3399.5776446958143,655.7453331867728,3050.556486900715,0.37,39,1
50,18.916259524629023,7578049.797783084,14,4201.058211485467,6.34587836265564,2844313975.865056,3399.5776446958143,657.4295569057193,3050.5564869004584,0.37,40,1
50,18.913672499030323,7578049.797783084,14,4204.036250842595,4.787215948104858,2867899601.387484,3399.5776446958143,659.1312936811057,3050.5564869006603,0.37,41,1
50,18.916259524629023,7578049.797783084,14,4206.952994501795,6.389400959014893,2891485226.909913,3399.5776446958143,660.7980043436123,3050.556486900474,0.37,42,1
50,19.1825173403057,7910233.960941498,14,4358.633348825355,20.59329867362976,3015872832.882363,3237.733933668246,696.4411301572242,3139.8613710502127,0.37,43,1
