customers, averagespeed, distance, vehicles, costs, tts,
5,0.9110404301540488,969.7490675021596,1,30837811.27347684,0.15921378135681152
5,1.081209483951471,1226.7523437325583,1,41734765.07771485,0.20416736602783203
5,1.1323433317963296,1277.2825953200725,1,53943713.72535517,0.22966861724853516
5,0.7944731118012914,1871.3509848162862,2,53502755.1540957,0.1845407485961914
5,0.9000437473150781,1766.1829150238675,2,63448016.2043904,0.16813230514526367
5,1.0145722300199878,1112.9353193774164,1,38435777.07858125,0.1609947681427002
5,1.0344987575797493,1172.4784567330864,1,26568829.378754348,0.17132115364074707
5,1.0776789394782946,1211.8126827808178,1,53048189.337122515,0.16013026237487793
5,1.143626497581279,1305.6253002176206,1,50507332.76846754,0.14159607887268066
5,1.2893734443614264,1375.7662543555255,1,53096596.1314767,0.1977994441986084
5,1.117216472953958,1766.30930237192,2,73214066.06881867,0.21662330627441406
5,1.0336114881220013,1075.8854383778366,1,28417803.703688636,0.15318918228149414
5,1.3181113627018606,1364.2435656235307,1,45132006.573620915,0.17444491386413574
5,0.7186153144315881,1531.218221866143,2,58664392.987647854,0.15508508682250977
5,1.0171339124756122,1151.8202697750492,1,40907330.41400541,0.21411705017089844
5,1.0139286698638235,1168.888080904472,1,37414423.2702009,0.16163229942321777
5,0.8826244578699622,827.8242708302956,1,14879556.0415239,0.1580672264099121
5,1.065115799848026,1280.780832563354,1,40939663.84591226,0.12415766716003418
5,1.1987137024402412,1432.4030889181786,1,51870243.182469,0.1571946144104004
5,1.2122750984883321,1392.4962342751455,1,65123657.593088455,0.16277265548706055
5,0.7279172283452834,1618.895361825562,2,55446641.36946673,0.17494916915893555
5,0.9918713221342615,1151.0833017362465,1,32208603.947125446,0.15331411361694336
5,0.8733616441413006,1621.1977375464735,2,63376769.20777804,0.26048994064331055
5,1.100949019443995,1241.2298499936733,1,49022912.60105448,0.15216994285583496
5,0.6764217658491551,1327.8428169726863,2,53665602.31968289,0.17015957832336426
5,1.1355153764353776,1285.9291410094233,1,30829051.16132311,0.1392204761505127
5,0.8172498552419406,1734.3648567928412,2,58692569.91720706,0.15917634963989258
5,1.1899604844335339,1212.6642287470395,1,35988344.12580416,0.20014309883117676
5,1.3612646218812943,1329.7614823355066,1,37690689.51983356,0.16718006134033203
5,0.84271188723004,1870.659561747835,2,56365228.17938134,0.22905588150024414
6,1.166544257334142,1287.095336158453,1,44032816.49301011,0.48349428176879883
6,1.2080554258278005,1506.1912312873442,1,46937754.8287006,0.22637557983398438
6,0.9823490982505222,1049.7960767826198,1,34803847.710783266,0.1867372989654541
6,1.1612799273553165,1274.3476329759155,1,54637691.65692092,0.22541189193725586
