customers, averagespeed, distance, vehicles, costs, tts, weightedload
5,0.9110404301540488,969.7490675021596,1,30837811.27347683,0.399688720703125,15417049.010097938
5,1.0266506483636688,1226.7523437325583,1,41735048.52673817,0.18999862670898438,20863289.112458464
5,1.1323433317963296,1277.2825953200725,1,53943713.725355156,0.2709975242614746,26967484.42594073
5,0.7953012047886101,1871.3509848162862,2,53502780.24080932,0.20299792289733887,26748477.1067309
5,0.8864645081255971,1766.1829150238675,2,63447927.62926989,0.22699785232543945,31720089.141677767
5,1.015700284601661,1112.9353193774164,1,38434187.2713635,0.1589980125427246,19214259.231475517
5,1.0344987575797493,1172.4784567330864,1,26568829.37875434,0.22641873359680176,13281234.661574084
5,1.0776789394782946,1211.8126827808178,1,53048189.33712254,0.18371105194091797,26520455.405674152
5,1.1436525314452655,1305.6253002176206,1,50508644.68624681,0.13799571990966797,25249042.553516798
5,1.2883427917362584,1375.7662543555255,1,53096496.19815009,0.2429959774017334,26541948.08215561
5,0.9042443436664034,1766.30930237192,2,73208449.33177112,0.20754599571228027,36600104.50580601
5,1.0330096142479206,1075.8854383778366,1,28419838.473568283,0.1385939121246338,14206104.343274675
5,1.3175199220485567,1364.2435656235307,1,45131989.37644501,0.1671919822692871,22559548.411077827
5,0.7186153144315881,1531.218221866143,2,58664392.987647854,0.13669204711914062,29330489.213508062
5,1.0174354894971984,1151.8202697750492,1,40906840.237062685,0.25058436393737793,20449928.443268046
5,1.0150220256426896,1168.888080904472,1,37413329.418626025,0.1720278263092041,18703167.114626553
5,0.8826244578699622,827.8242708302956,1,14879556.041524008,0.18184661865234375,7438351.349121935
5,1.0646602167202135,1280.780832563354,1,40939653.5658812,0.1292107105255127,20465953.63925907
5,1.1970073351962156,1432.4030889181786,1,51870180.07919531,0.15952587127685547,25929175.90169117
5,1.2118864655780301,1392.4962342751455,1,65123223.250861794,0.14614462852478027,32555847.973495986
5,0.7279172283452834,1618.895361825562,2,55446641.3694668,0.14600610733032227,27721414.34325721
5,0.9926322116378896,1151.0833017362465,1,32208616.37065513,0.1463792324066162,16101476.557325246
5,0.8729277555229782,1621.1977375464735,2,63376759.62345824,0.1851813793182373,31685105.873286393
5,1.130891282009804,1241.2298499936733,1,49022512.69587895,0.13034749031066895,24506769.95639577
5,0.6773272624207597,1327.8428169726863,2,53665609.37653747,0.20937371253967285,26831520.76310963
5,1.1352001127976499,1285.9291410094233,1,30829043.887632884,0.14106988906860352,15410076.316461187
5,0.818024897044953,1734.3648567928412,2,58692875.45688673,0.18399810791015625,29343369.8548744
5,1.1909295992643631,1212.6642287470395,1,35988078.99822756,0.1703193187713623,17989277.030622754
5,1.363155046673502,1329.7614823355066,1,37690736.937853545,0.16660571098327637,18838854.926576298
5,0.8427468827763244,1870.659561747835,2,56365228.23223346,0.22511506080627441,28179063.72225438
