customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
5,20.759568818867642,870557.6620533199,1,446.8285758803517,0.06478118896484375,317962597.3136639,181.53213916627095,84.55488539443306,298.85752644009386
5,21.73622955905302,1087300.0360858697,1,552.0325472216017,0.04727911949157715,400154710.5682805,398.79276844778457,113.09273711612732,354.1202572683789
5,24.000933138823342,1192119.3747645572,1,580.5719355038732,0.03993535041809082,445690729.2778586,140.29672290971695,130.77843113219726,351.709681022528
5,22.36570457165238,1544583.4089343273,2,758.3325642881623,0.05025911331176758,529232752.9444554,222.24088277662742,155.4686660156195,486.26239876082815
5,20.413632765153853,1560189.3264624742,2,788.3332441078682,0.05587124824523926,491021530.0132866,375.93373606375513,143.83989757906366,536.6134233445067
5,20.550456068466488,967899.5753097718,1,498.6924293678411,0.04396247863769531,341196285.58276033,169.92362001536705,94.02935763035067,334.1410535147274
5,21.441837806043676,938023.3123169848,1,473.5377118347426,0.04493117332458496,344789271.5809117,420.74379266017274,92.74147036863187,311.24013868963686
5,21.320154757020596,1105833.302025312,1,556.5552085082703,0.04560494422912598,379906309.5678697,157.65026363524134,108.47087462529835,366.7311779139982
5,23.400893993036135,1137622.0671070444,1,554.7726240531546,0.04096341133117676,400334536.0468293,239.7802902691343,120.15642477244727,344.4988807013719
5,20.874652677974357,1195627.072549889,1,618.8918239757743,0.0458827018737793,467983363.4796364,260.0274741482107,122.97279885673774,403.6894259764833
6,21.491745276490455,1528762.2152028652,2,767.0712129242045,0.09207439422607422,526719678.1349861,408.18449364450794,151.19938555852497,502.4722881967857
6,21.43542866273663,1003844.0804279591,1,520.1644293343082,0.05417966842651367,407620104.96051246,520.7357613211128,106.17263497961856,334.3623181199758
6,20.045716074682254,1621251.52292471,2,839.0440470356414,0.1048438549041748,526917413.04398113,405.67964562555517,154.27412887971224,569.0643214961449
6,21.07983236832127,1333284.0936797345,2,670.9002298993648,0.08914732933044434,452054735.5919881,343.7662661291449,127.02677568872271,448.60337244410005
6,23.99450015857199,1115913.696703707,2,540.3304775342042,0.10188603401184082,353041857.068917,312.0808830929466,117.78984190495316,334.1982542005361
6,24.230392954181614,1135356.0434724644,2,556.8794131058887,0.10074472427368164,419355057.4206559,277.76887644728345,125.88115562686261,336.5873907588791
6,24.30555555555555,606389.8323290007,1,300.22934088423085,0.06520366668701172,201790081.03109527,207.4405091043097,65.94124050336181,184.83217000334767
6,23.72115030543124,1208912.94144677,2,587.586876728608,0.0647423267364502,379326138.5369001,528.111465033826,127.39215154628423,364.65061152261063
6,22.12459717027935,1781634.5369186709,2,881.2021889189317,0.05951666831970215,571748408.110474,571.7503628328764,179.73266429743202,566.6700263984256
6,24.129844221596244,1476557.1053627315,2,714.6970680395061,0.06867480278015137,505999675.2554425,186.35391696120612,160.08611040135924,434.54637483712753
7,24.0594433805535,1564195.121715723,2,754.3709007784416,0.09458327293395996,507315905.54191124,391.8207394714045,166.66293607628992,462.7107626449342
7,22.268788595931618,1726576.9219513924,2,843.1630954956319,0.19545698165893555,553665341.2552773,562.9784345188446,168.51480368752442,548.2621890424641
7,23.6872183440373,1671070.3204082453,2,807.4101803103647,0.08054661750793457,538032733.1057391,541.8000114411954,175.3638107967307,500.52351141608597
7,21.483842945981184,1360583.750929493,2,682.3372888620731,0.08091020584106445,474109088.95915675,574.5869948331339,132.07341674560334,451.2088095572673
7,22.37213709817133,1352801.9123171065,2,826.4732571421528,0.11163115501403809,571408421.8846818,381.8068232470855,147.6361708624536,568.1099581328589
7,23.044444715700497,1252259.6962840497,2,632.9677252269237,0.07042932510375977,551266090.0078533,239.68807656994065,138.9640606064914,389.7806191655638
7,22.11397669448463,1531579.4862083858,2,769.5818016854862,0.07413387298583984,547318780.172034,344.5517372332098,158.78046168575125,491.71599373542153
7,22.36815290146591,1243173.9389970915,2,620.5982133010492,0.08325457572937012,425243176.8514284,334.2460731789187,127.06640578027059,398.23200318557565
7,22.29261696199685,1551225.895947822,2,773.0444927033673,0.08946847915649414,565447050.8814002,647.8369471631252,159.48502145069867,493.94570516464466
7,22.721543015055754,1776362.8843058397,2,872.1469784810824,0.08378124237060547,628099629.8728174,272.956743444469,182.55382201182564,552.6777899603876
8,22.133159718858714,1366726.643388261,2,693.1622267716932,0.11361503601074219,494886811.24568856,625.5126117912237,143.2586565689345,442.45957777605787
