customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff,a,xxx
50,14.232161026431207,7231359.049641497,14,30318.20262237269,4.007656097412109,2486950311.6763387,3103.9682187950852,15090.382219357709,3910.0337384966983,0.01,1,1
50,15.524672789187228,6925619.007593597,12,17854.333063255304,4.3732008934021,2437052849.753951,3061.7106649125994,8207.478357869835,3491.245936983092,0.02,2,1
50,15.236896761739871,7437047.883774223,13,13761.763086195697,3.3680169582366943,2598320207.1061573,3085.263839659104,5745.875032040648,3706.4817801245636,0.03,3,1
50,15.11151129234224,7155209.683686963,13,10917.918369693418,3.9972033500671387,2519527228.3701553,3171.620212671221,4128.10156413521,3693.7406324568014,0.04,4,1
50,15.92922322024546,6808820.985821521,12,9220.314257785187,3.7460756301879883,2382442480.8417816,2819.5209750125364,3285.3434892804053,3470.9631515444776,0.05,5,1
50,15.777563723485162,6939945.673589098,12,8294.01309818243,4.889339208602905,2510032879.330037,3224.5356713472383,2848.237672631,3309.5971710781787,0.06,6,1
50,16.13924915217798,6799815.276417695,11,7330.353466770783,5.50111985206604,2473000357.1695447,2939.132422023451,2404.643449054405,3122.227430925574,0.07,7,1
50,15.437931140491488,6994023.62904468,13,7152.200991800838,3.908010482788086,2389108305.8892245,3272.475876426147,2051.6797172499696,3561.7614866133913,0.08,8,1
50,15.934669663191334,6543745.372409832,11,6209.317834245025,4.442711591720581,2400442776.691159,2950.3535761251646,1813.9115309302433,3034.972655117099,0.09,9,1
50,16.61118988993803,6613193.944512485,11,5966.668237721146,4.283390283584595,2408196155.94549,3134.44838149083,1721.2090030096767,2954.552482454212,0.1,10,1
50,16.565184184893457,7180127.605808136,12,6114.682243506575,3.7575602531433105,2570872524.104056,3246.136010042596,1660.4707204045324,3208.8584827986438,0.11,11,1
50,16.350256239335692,6893026.263356778,12,5934.129423303834,3.606966495513916,2435739609.2647,3136.441286237072,1482.2723909768736,3340.1527390943056,0.12,12,1
50,15.211686846594304,7528784.563933348,15,6167.284123227604,4.782701253890991,2587427275.67714,3423.382804203119,1297.6105908962372,3896.4655891591897,0.13,13,1
50,16.851216440849296,7158734.74714424,12,5527.323270145964,4.5867698192596436,2524433783.360493,3089.5477434432414,1350.036047675869,3164.7601867131925,0.14,14,1
50,17.37656366343216,7423374.103401644,12,5554.408067355978,10.824162721633911,2627386486.745685,3072.0594508455592,1336.3794785685693,3215.7439798609826,0.15,15,1
50,17.574219148339573,6501581.644873911,11,4947.73990141151,3.3477351665496826,2330591480.490209,3582.963881050298,1133.7569581765206,2963.6652246025988,0.16,16,1
